Date,Value
2020-08-16,3735540.0
2020-08-17,3733454.0
2020-08-18,3733530.0
2020-08-19,3746222.0
2020-08-20,3756364.0
2020-08-21,3752717.0
2020-08-22,3748867.0
2020-08-23,3722029.0
2020-08-24,3720863.0
2020-08-25,3724755.0
2020-08-26,3727912.0
2020-08-27,3722930.0
2020-08-28,3722221.0
2020-08-29,3709612.0
2020-08-30,3711387.0
2020-08-31,3732687.0
2020-09-01,3736352.0
2020-09-02,3779029.0
2020-09-03,3785769.0
2020-09-04,3794012.0
2020-09-05,3811081.0
2020-09-06,3867101.0
2020-09-07,3883611.0
2020-09-08,3895514.0
2020-09-09,3904064.0
2020-09-10,3890587.0
2020-09-11,3900560.0
2020-09-12,3921805.0
2020-09-13,3952958.0
2020-09-14,3967762.0
2020-09-15,3995934.0
2020-09-16,3993727.0
2020-09-17,4016573.0
2020-09-18,4039351.0
2020-09-19,4056333.0
2020-09-20,4065721.0
2020-09-21,4080031.0
2020-09-22,4096930.0
2020-09-23,4131303.0
2020-09-24,4180839.0
2020-09-25,4195322.0
2020-09-26,4201994.0
2020-09-27,4203215.0
2020-09-28,4204498.0
2020-09-29,4201337.0
2020-09-30,4211995.0
2020-10-01,4227891.0
2020-10-02,4238399.0
2020-10-03,4247076.0
2020-10-04,4248864.0
2020-10-05,4264733.0
2020-10-06,4280224.0
2020-10-07,4319497.0
2020-10-08,4368795.0
2020-10-09,4410928.0
2020-10-10,4457405.0
2020-10-11,4519239.0
2020-10-12,4564536.0
2020-10-13,4620008.0
2020-10-14,4684632.0
2020-10-15,4738925.0
2020-10-16,4807410.0
2020-10-17,4879689.0
2020-10-18,4984282.0
2020-10-19,5055699.0
2020-10-20,5139826.0
2020-10-21,5260579.0
2020-10-22,5366503.0
2020-10-23,5482479.0
2020-10-24,5586544.0
2020-10-25,5723229.0
2020-10-26,5843556.0
2020-10-27,5945293.0
2020-10-28,6096763.0
2020-10-29,6261233.0
2020-10-30,6391569.0
2020-10-31,6521180.0
2020-11-01,6651512.0
2020-11-02,6758894.0
2020-11-03,6911794.0
2020-11-04,6999251.0
2020-11-05,7088561.0
2020-11-06,7194061.0
2020-11-07,7304097.0
2020-11-08,7380152.0
2020-11-09,7449142.0
2020-11-10,7490086.0
2020-11-11,7555877.0
2020-11-12,7624635.0
2020-11-13,7727636.0
2020-11-14,7824793.0
2020-11-15,7876932.0
2020-11-16,7935186.0
2020-11-17,7914986.0
2020-11-18,7942546.0
2020-11-19,7998944.0
2020-11-20,8053254.0
2020-11-21,8108278.0
2020-11-22,8140702.0
2020-11-23,8152008.0
2020-11-24,8190982.0
2020-11-25,8178842.0
2020-11-26,8169654.0
2020-11-27,8198942.0
2020-11-28,8165300.0
2020-11-29,8135085.0
2020-11-30,8112059.0
2020-12-01,8115605.0
2020-12-02,8113966.0
2020-12-03,8136238.0
2020-12-04,8172426.0
2020-12-05,8212239.0
2020-12-06,8237951.0
2020-12-07,8269771.0
2020-12-08,8306044.0
2020-12-09,8339471.0
2020-12-10,8412721.0
2020-12-11,8432541.0
2020-12-12,8510284.0
2020-12-13,8611841.0
2020-12-14,8673984.0
2020-12-15,8713619.0
2020-12-16,8787438.0
2020-12-17,8807714.0
2020-12-18,8874014.0
2020-12-19,8927140.0
2020-12-20,8956804.0
2020-12-21,8968189.0
2020-12-22,8988928.0
2020-12-23,9008805.0
2020-12-24,9002536.0
2020-12-25,8985939.0
2020-12-26,8918636.0
2020-12-27,8690559.0
2020-12-28,8565463.0
2020-12-29,8542837.0
2020-12-30,8514437.0
2020-12-31,8581005.0
2021-01-01,8591761.0
2021-01-02,8514192.0
2021-01-03,8386295.0
2021-01-04,8380552.0
2021-01-05,8421444.0
2021-01-06,8477814.0
2021-01-07,8598676.0
2021-01-08,8708070.0
2021-01-09,8912713.0
2021-01-10,9235091.0
2021-01-11,9454167.0
2021-01-12,9556594.0
2021-01-13,9623117.0
2021-01-14,9625038.0
2021-01-15,9601691.0
2021-01-16,9662680.0
2021-01-17,9828097.0
2021-01-18,9858620.0
2021-01-19,9808432.0
2021-01-20,9714756.0
2021-01-21,9550375.0
2021-01-22,9429954.0
2021-01-23,9244830.0
2021-01-24,9077747.0
2021-01-25,8922523.0
2021-01-26,8756686.0
2021-01-27,8610058.0
2021-01-28,8454323.0
2021-01-29,8316112.0
2021-01-30,8162454.0
2021-01-31,7991020.0
2021-02-01,7844156.0
2021-02-02,7690541.0
2021-02-03,7567441.0
2021-02-04,7433511.0
2021-02-05,7252387.0
2021-02-06,7100952.0
2021-02-07,6936482.0
2021-02-08,6797214.0
2021-02-09,6686761.0
2021-02-10,6532885.0
2021-02-11,6366417.0
2021-02-12,6206486.0
2021-02-13,6064855.0
2021-02-14,5906512.0
2021-02-15,5775390.0
2021-02-16,5687484.0
2021-02-17,5580085.0
2021-02-18,5460161.0
2021-02-19,5371811.0
2021-02-20,5279119.0
2021-02-21,5202178.0
2021-02-22,5158650.0
2021-02-23,5133394.0
2021-02-24,5122484.0
2021-02-25,5130049.0
2021-02-26,5126186.0
2021-02-27,5125398.0
2021-02-28,5133084.0
2021-03-01,5157097.0
2021-03-02,5174022.0
2021-03-03,5201856.0
2021-03-04,5245355.0
2021-03-05,5292906.0
2021-03-06,5340798.0
2021-03-07,5392424.0
2021-03-08,5414112.0
2021-03-09,5473253.0
2021-03-10,5497971.0
2021-03-11,5532417.0
2021-03-12,5581620.0
2021-03-13,5632090.0
2021-03-14,5709202.0
2021-03-15,5758223.0
2021-03-16,5821297.0
2021-03-17,5882110.0
2021-03-18,5995914.0
2021-03-19,6103235.0
2021-03-20,6209650.0
2021-03-21,6316963.0
2021-03-22,6425086.0
2021-03-23,6497611.0
2021-03-24,6628375.0
2021-03-25,6772455.0
2021-03-26,6916897.0
2021-03-27,7049172.0
2021-03-28,7176337.0
2021-03-29,7311191.0
2021-03-30,7422649.0
2021-03-31,7532392.0
2021-04-01,7645532.0
2021-04-02,7760585.0
2021-04-03,7869732.0
2021-04-04,7902283.0
2021-04-05,7980323.0
2021-04-06,8044323.0
2021-04-07,8106468.0
2021-04-08,8233809.0
2021-04-09,8373943.0
2021-04-10,8511371.0
2021-04-11,8654896.0
2021-04-12,8790591.0
2021-04-13,8922105.0
2021-04-14,9091933.0
2021-04-15,9252655.0
2021-04-16,9401729.0
2021-04-17,9555718.0
2021-04-18,9812660.0
2021-04-19,10032041.0
2021-04-20,10232459.0
2021-04-21,10432718.0
2021-04-22,10589031.0
2021-04-23,10721831.0
2021-04-24,10826601.0
2021-04-25,10923130.0
2021-04-26,11037369.0
2021-04-27,11123011.0
2021-04-28,11186010.0
2021-04-29,11258042.0
2021-04-30,11322001.0
2021-05-01,11378524.0
2021-05-02,11382383.0
2021-05-03,11361186.0
2021-05-04,11340919.0
2021-05-05,11308285.0
2021-05-06,11270376.0
2021-05-07,11217442.0
2021-05-08,11191628.0
2021-05-09,11157401.0
2021-05-10,11082927.0
2021-05-11,11018071.0
2021-05-12,10897573.0
2021-05-13,10775373.0
2021-05-14,10629330.0
2021-05-15,10465632.0
2021-05-16,10303936.0
2021-05-17,10170784.0
2021-05-18,10038031.0
2021-05-19,9874719.0
2021-05-20,9675910.0
2021-05-21,9472672.0
2021-05-22,9291457.0
2021-05-23,9053409.0
2021-05-24,8868442.0
2021-05-25,8671519.0
2021-05-26,8504055.0
2021-05-27,8317341.0
2021-05-28,8151484.0
2021-05-29,7977624.0
2021-05-30,7772107.0
2021-05-31,7621509.0
2021-06-01,7451585.0
2021-06-02,7279435.0
2021-06-03,7092137.0
2021-06-04,6941662.0
2021-06-05,6757500.0
2021-06-06,6569578.0
2021-06-07,6423271.0
2021-06-08,6302478.0
2021-06-09,6163490.0
2021-06-10,5972540.0
2021-06-11,5841545.0
2021-06-12,5741945.0
2021-06-13,5670500.0
2021-06-14,5569938.0
2021-06-15,5491385.0
2021-06-16,5407278.0
2021-06-17,5332882.0
2021-06-18,5263274.0
2021-06-19,5199043.0
2021-06-20,5196784.0
2021-06-21,5160490.0
2021-06-22,5140484.0
2021-06-23,5120117.0
2021-06-24,5156567.0
2021-06-25,5173813.0
2021-06-26,5164189.0
2021-06-27,5169305.0
2021-06-28,5175661.0
2021-06-29,5195117.0
2021-06-30,5234074.0
2021-07-01,5272602.0
2021-07-02,5267751.0
2021-07-03,5325784.0
2021-07-04,5368906.0
2021-07-05,5409354.0
2021-07-06,5456141.0
2021-07-07,5532763.0
2021-07-08,5607068.0
2021-07-09,5652902.0
2021-07-10,5904210.0
2021-07-11,5991862.0
2021-07-12,6059984.0
2021-07-13,6145254.0
2021-07-14,6277917.0
2021-07-15,6406680.0
2021-07-16,6574499.0
2021-07-17,6714672.0
2021-07-18,6836426.0
2021-07-19,6918369.0
2021-07-20,7011532.0
2021-07-21,7126335.0
2021-07-22,7185212.0
2021-07-23,7283184.0
2021-07-24,7212397.0
2021-07-25,7353329.0
2021-07-26,7405187.0
2021-07-27,7463013.0
2021-07-28,7564781.0
2021-07-29,7670377.0
2021-07-30,7757337.0
2021-07-31,7834931.0
2021-08-01,7909215.0
2021-08-02,7974357.0
2021-08-03,8036725.0
2021-08-04,8143343.0
2021-08-05,8268132.0
2021-08-06,8414783.0
2021-08-07,8523126.0
2021-08-08,8563460.0
2021-08-09,8654716.0
2021-08-10,8718572.0
2021-08-11,8747054.0
2021-08-12,8783746.0
2021-08-13,8839406.0
2021-08-14,8898667.0
2021-08-15,8940477.0
2021-08-16,8993748.0
2021-08-17,9031775.0
2021-08-18,9027838.0
2021-08-19,9107438.0
2021-08-20,9113265.0
2021-08-21,9137996.0
2021-08-22,9135660.0
2021-08-23,9110892.0
2021-08-24,9127148.0
2021-08-25,9151575.0
2021-08-26,9175939.0
2021-08-27,9179141.0
2021-08-28,9178123.0
2021-08-29,9192237.0
2021-08-30,9172298.0
2021-08-31,9138904.0
2021-09-01,9128762.0
2021-09-02,9060772.0
2021-09-03,9023721.0
2021-09-04,8979361.0
2021-09-05,8953459.0
2021-09-06,8920254.0
2021-09-07,8871385.0
2021-09-08,8786238.0
2021-09-09,8630694.0
2021-09-10,8506128.0
2021-09-11,8423341.0
2021-09-12,8318320.0
2021-09-13,8234887.0
2021-09-14,8183753.0
2021-09-15,8095111.0
2021-09-16,7980887.0
2021-09-17,7837590.0
2021-09-18,7740084.0
2021-09-19,7636754.0
2021-09-20,7686158.0
2021-09-21,7611060.0
2021-09-22,7523365.0
2021-09-23,7466329.0
2021-09-24,7404224.0
2021-09-25,7287041.0
2021-09-26,7206207.0
2021-09-27,7117876.0
2021-09-28,7026723.0
2021-09-29,6971198.0
2021-09-30,6880784.0
2021-10-01,6802481.0
2021-10-02,6708378.0
2021-10-03,6623498.0
2021-10-04,6400935.0
2021-10-05,6329891.0
2021-10-06,6294069.0
2021-10-07,6249644.0
2021-10-08,6186220.0
2021-10-09,6123491.0
2021-10-10,6066732.0
2021-10-11,6014651.0
2021-10-12,5990135.0
2021-10-13,5953543.0
2021-10-14,5917853.0
2021-10-15,5877946.0
2021-10-16,5850826.0
2021-10-17,5832830.0
2021-10-18,5819513.0
2021-10-19,5820339.0
2021-10-20,5833461.0
2021-10-21,5841739.0
2021-10-22,5843305.0
2021-10-23,5859710.0
2021-10-24,5868037.0
2021-10-25,5860034.0
2021-10-26,5854014.0
2021-10-27,5903673.0
2021-10-28,5965065.0
2021-10-29,6017645.0
2021-10-30,6083191.0
2021-10-31,6106979.0
2021-11-01,6108685.0
2021-11-02,6101247.0
2021-11-03,6145793.0
2021-11-04,6173950.0
2021-11-05,6214890.0
2021-11-06,6255376.0
2021-11-07,6287847.0
2021-11-08,6314142.0
2021-11-09,6359619.0
2021-11-10,6454142.0
2021-11-11,6496959.0
2021-11-12,6555945.0
2021-11-13,6540707.0
2021-11-14,6618664.0
2021-11-15,6695096.0
2021-11-16,6756979.0
2021-11-17,6898723.0
2021-11-18,6997296.0
2021-11-19,7090490.0
2021-11-20,7199812.0
2021-11-21,7286256.0
2021-11-22,7351916.0
2021-11-23,7437070.0
2021-11-24,7572036.0
2021-11-25,7671991.0
2021-11-26,7779879.0
2021-11-27,7863666.0
2021-11-28,7876781.0
2021-11-29,7910757.0
2021-11-30,7960728.0
2021-12-01,7977087.0
2021-12-02,8065345.0
2021-12-03,8156996.0
2021-12-04,8224321.0
2021-12-05,8306144.0
2021-12-06,8351219.0
2021-12-07,8340194.0
2021-12-08,8368918.0
2021-12-09,8419841.0
2021-12-10,8433377.0
2021-12-11,8513098.0
2021-12-12,8588949.0
2021-12-13,8619990.0
2021-12-14,8620402.0
2021-12-15,8739790.0
2021-12-16,8798653.0
2021-12-17,8857391.0
2021-12-18,8917742.0
2021-12-19,8986466.0
2021-12-20,9045026.0
2021-12-21,9130987.0
2021-12-22,9324094.0
2021-12-23,9554325.0
2021-12-24,9889435.0
2021-12-25,10256472.0
2021-12-26,10641301.0
2021-12-27,10739926.0
2021-12-28,11095155.0
2021-12-29,11882996.0
2021-12-30,12764793.0
2021-12-31,13851337.0
2022-01-01,15057518.0
2022-01-02,16267707.0
2022-01-03,16846192.0
2022-01-04,17716086.0
2022-01-05,19387065.0
2022-01-06,21197202.0
2022-01-07,22822714.0
2022-01-08,24349608.0
2022-01-09,26615552.0
2022-01-10,28180170.0
2022-01-11,29342365.0
2022-01-12,31311568.0
2022-01-13,32832362.0
2022-01-14,34164624.0
2022-01-15,35386974.0
2022-01-16,37033371.0
2022-01-17,38353262.0
2022-01-18,39134507.0
2022-01-19,40259698.0
2022-01-20,41271020.0
2022-01-21,42444839.0
2022-01-22,43561722.0
2022-01-23,44096265.0
2022-01-24,44638162.0
2022-01-25,45162940.0
2022-01-26,45674653.0
2022-01-27,46090332.0
2022-01-28,46516014.0
2022-01-29,46803193.0
2022-01-30,46679637.0
2022-01-31,46707206.0
2022-02-01,46760929.0
2022-02-02,46438131.0
2022-02-03,45826438.0
2022-02-04,45027490.0
2022-02-05,44336568.0
2022-02-06,43227908.0
2022-02-07,42551232.0
2022-02-08,41967588.0
2022-02-09,40917965.0
2022-02-10,39971454.0
2022-02-11,38833811.0
2022-02-12,37626132.0
2022-02-13,36309105.0
2022-02-14,35420934.0
2022-02-15,34762438.0
2022-02-16,33469962.0
2022-02-17,32413822.0
2022-02-18,31416943.0
2022-02-19,30297031.0
2022-02-20,29355219.0
2022-02-21,28650764.0
2022-02-22,28173329.0
2022-02-23,26981744.0
2022-02-24,26174438.0
2022-02-25,25442634.0
2022-02-26,24782996.0
2022-02-27,24105536.0
2022-02-28,23788567.0
2022-03-01,23487653.0
2022-03-02,23021017.0
2022-03-03,22644737.0
2022-03-04,22283364.0
2022-03-05,22026633.0
2022-03-06,21921396.0
2022-03-07,21807835.0
2022-03-08,21840095.0
2022-03-09,21887005.0
2022-03-10,21842804.0
2022-03-11,21915606.0
2022-03-12,22290192.0
2022-03-13,22613373.0
2022-03-14,22757191.0
2022-03-15,22943959.0
2022-03-16,23461450.0
2022-03-17,23787940.0
2022-03-18,23955058.0
2022-03-19,24236682.0
2022-03-20,24226382.0
2022-03-21,24260199.0
2022-03-22,24365253.0
2022-03-23,24306499.0
2022-03-24,24229043.0
2022-03-25,24108825.0
2022-03-26,23678286.0
2022-03-27,23454004.0
2022-03-28,23313454.0
2022-03-29,23131911.0
2022-03-30,22540052.0
2022-03-31,21939945.0
2022-04-01,21496214.0
2022-04-02,20788665.0
2022-04-03,20484174.0
2022-04-04,20088069.0
2022-04-05,19408482.0
2022-04-06,18832615.0
2022-04-07,18424286.0
2022-04-08,17804732.0
2022-04-09,17206545.0
2022-04-10,16778945.0
2022-04-11,16266071.0
2022-04-12,15669413.0
2022-04-13,15096272.0
2022-04-14,14479944.0
2022-04-15,14046034.0
2022-04-16,13553772.0
2022-04-17,13070920.0
2022-04-18,12795398.0
2022-04-19,12304996.0
2022-04-20,11718453.0
2022-04-21,11329475.0
2022-04-22,11034949.0
2022-04-23,10749552.0
2022-04-24,10458178.0
2022-04-25,10140160.0
2022-04-26,9928167.0
2022-04-27,9550629.0
2022-04-28,9394953.0
2022-04-29,9044138.0
2022-04-30,8866240.0
2022-05-01,8740980.0
2022-05-02,8531336.0
2022-05-03,8479963.0
2022-05-04,8389628.0
2022-05-05,8034629.0
2022-05-06,7801956.0
2022-05-07,7677607.0
2022-05-08,7634186.0
2022-05-09,7569302.0
2022-05-10,7473681.0
2022-05-11,7477294.0
2022-05-12,7412551.0
2022-05-13,7414872.0
2022-05-14,7434027.0
2022-05-15,7585767.0
2022-05-16,7584493.0
2022-05-17,7584274.0
2022-05-18,7668642.0
2022-05-19,7728297.0
2022-05-20,7752103.0
2022-05-21,7717573.0
2022-05-22,7760122.0
2022-05-23,7708480.0
2022-05-24,7657933.0
2022-05-25,7561183.0
2022-05-26,7489378.0
2022-05-27,7382497.0
2022-05-28,7306901.0
2022-05-29,7181745.0
2022-05-30,7133629.0
2022-05-31,7080775.0
2022-06-01,6912656.0
2022-06-02,6870923.0
2022-06-03,6816629.0
2022-06-04,6761920.0
2022-06-05,6648488.0
2022-06-06,6612858.0
2022-06-07,6544995.0
2022-06-08,6537169.0
2022-06-09,6637255.0
2022-06-10,6725905.0
2022-06-11,6786490.0
2022-06-12,6716899.0
2022-06-13,6769772.0
2022-06-14,6814460.0
2022-06-15,6953447.0
2022-06-16,6989153.0
2022-06-17,7062000.0
2022-06-18,7182578.0
2022-06-19,7195997.0
2022-06-20,7259213.0
2022-06-21,7374182.0
2022-06-22,7576163.0
2022-06-23,7701862.0
2022-06-24,7856854.0
2022-06-25,8100662.0
2022-06-26,8315840.0
2022-06-27,8400463.0
2022-06-28,8532718.0
2022-06-29,8800004.0
2022-06-30,9119573.0
2022-07-01,9413548.0
2022-07-02,9792508.0
2022-07-03,10155639.0
2022-07-04,10365623.0
2022-07-05,10515892.0
2022-07-06,10828528.0
2022-07-07,11089206.0
2022-07-08,11355774.0
2022-07-09,11638288.0
2022-07-10,11991404.0
2022-07-11,12219225.0
2022-07-12,12357076.0
2022-07-13,12670422.0
2022-07-14,12811480.0
2022-07-15,12960974.0
2022-07-16,13007102.0
2022-07-17,13417767.0
2022-07-18,13682659.0
